iata_code,airport_name,latitude_deg,longitude_deg,elevation_ft,municipality
NNK,Naknek Airport,58.732898712158004,-157.02000427246,70.0,Naknek
BCS,Southern Seaplane Airport,29.866100311300002,-90.02220153809999,,Belle Chasse
BWL,Earl Henry Airport,36.7958984375,-97.31700134280001,1054.0,Blackwell
CWS,Center Island Airport,48.4901008606,-122.83200073200001,115.0,Center Island
TEK,Tatitlek Airport,60.871449,-146.690297,62.0,Tatitlek
DUF,Pine Island Airport,36.2535018921,-75.7884979248,16.0,Corolla
SSW,Stuart Island Airpark,48.672901153564,-123.17600250244,10.0,Stuart Island
FOB,Fort Bragg Airport,39.4743003845,-123.79599762,71.0,Fort Bragg
AXB,Maxson Airfield,44.312002,-75.90034,340.0,Alexandria Bay
REE,Reese Airpark,33.590301513671996,-102.03700256348,3338.0,Lubbock
WDN,Waldron Airstrip,48.7118,-123.01799799999999,140.0,East Sound
CHU,Chuathbaluk Airport,61.579102,-159.216003,244.0,Chuathbaluk
UGS,Ugashik Airport,57.5279006958,-157.399002075,25.0,Ugashik
MXG,Marlboro Airport,42.343201,-71.509002,285.0,Marlboro
KLL,Levelock Airport,59.1281013489,-156.85899353,39.0,Levelock
WTL,Tuntutuliak Airport,60.335300445600005,-162.667007446,16.0,Tuntutuliak
TWA,Twin Hills Airport,59.07559967040999,-160.27299499512,82.0,Twin Hills
KCQ,Chignik Lake Airport,56.25500106810001,-158.774993896,50.0,Chignik Lake
CEX,Chena Hot Springs Airport,65.0518035889,-146.04699707,1195.0,Chena Hot Springs
SOL,Solomon State Field,64.5605,-164.4457,25.0,Solomon
HED,Herendeen Bay Airport,55.801399231000005,-160.899002075,20.0,Herendeen Bay
TWE,Taylor Airport,65.6792984009,-164.798995972,440.0,Taylor
LNI,Lonely Air Station,70.91069794,-153.2420044,17.0,Lonely
CDL,Candle 2 Airport,65.907699585,-161.92599487299998,15.0,Candle
BSZ,Bartletts Airport,58.2162017822,-157.352005005,50.0,Egegik
BSW,Boswell Bay Airport,60.4230995178,-146.145996094,230.0,Boswell Bay
TGE,Sharpe Field,32.4919013977,-85.77559661869999,253.0,Tuskegee
AQY,Girdwood Airport,60.966099,-149.12600700000002,150.0,Girdwood
BKG,Branson Airport,36.532082,-93.200544,1302.0,Branson
ILL,Willmar Municipal -John L Rice Field,45.11769867,-95.13040161,1126.0,Willmar
BOK,Brookings Airport,42.0746,-124.290001,459.0,Brookings
BYA,Boundary Airport,64.0783004761,-141.113006592,2940.0,Boundary
CHP,Circle Hot Springs Airport,65.485496521,-144.61099243200002,956.0,Circle Hot Springs
CKD,Crooked Creek Airport,61.867900848400005,-158.13499450700002,178.0,Crooked Creek
CKR,Crane Island Airstrip,48.5978,-122.9979,108.0,Crane Island
CKU,Cordova Municipal Airport,60.5438995361,-145.727005005,12.0,Cordova
CKX,Chicken Airport,64.0712966919,-141.95199585,1640.0,Chicken
HLI,Hollister Municipal Airport,36.8932991028,-121.41000366200001,230.0,Hollister
CXC,Chitina Airport,61.582901001,-144.427001953,556.0,Chitina
CZK,Cascade Locks State Airport,45.6768989563,-121.87899780299999,151.0,Cascade Locks
CZN,Chisana Airport,62.071201324499995,-142.04800415,3318.0,Chisana
CZO,Chistochina Airport,62.5634994507,-144.66900634799998,1850.0,Chistochina
IUA,Canandaigua Airport,42.908902000000005,-77.325226,814.0,Ontario County IDA
DJN,Delta Junction Airport,64.0503997803,-145.716995239,1150.0,Delta Junction
DCK,Dahl Creek Airport,66.9432983398,-156.904998779,260.0,Dahl Creek
RGR,Ranger Municipal Airport,32.452598571799996,-98.68280029299999,1470.0,Ranger
FLT,Flat Airport,62.4525985718,-157.988998413,309.0,Flat
GAB,Gabbs Airport,38.92409896850001,-117.958999634,4700.0,Gabbs
GFD,Pope Field,39.7902984619,-85.7360992432,895.0,Greenfield
GNU,Goodnews Airport,59.117401123,-161.57699585,15.0,Goodnews
GMT,Granite Mountain Air Station,65.40209961,-161.28100590000003,1313.0,Granite Mountain
GVE,Gordonsville Municipal Airport,38.15599823,-78.16580200199999,454.0,Gordonsville
HAY,Haycock Airport,65.20099639889999,-161.156997681,175.0,Haycock
HPV,Princeville Airport,22.2091999054,-159.445999146,344.0,Hanalei
HKB,Healy Lake Airport,63.9958,-144.6926,1180.0,Healy Lake
HNE,Tahneta Pass Airport,61.9014015198,-147.304000854,2960.0,Tahneta Pass Lodge
JLA,Quartz Creek Airport,60.48270034789999,-149.718994141,450.0,Cooper Landing
AMK,Animas Air Park,37.2032012939,-107.869003296,6684.0,Durango
BDX,Broadus Airport,45.47249985,-105.4540024,3280.0,Broadus
EUE,Eureka Airport,39.6041984558,-116.004997253,5954.0,Eureka
KPT,Jackpot Airport/Hayden Field,41.97600173949999,-114.657997131,5213.0,Jackpot
RLA,Rolla Downtown Airport,37.93569946289063,-91.8134994506836,987.0,Rolla
FID,Elizabeth Field,41.25130081179999,-72.0316009521,9.0,Fishers Island
HUD,Humboldt Municipal Airport,42.7360992432,-94.2452011108,1093.0,Humboldt
TWD,Jefferson County International Airport,48.053798675500005,-122.81099700899999,108.0,Port Townsend
MVM,Kayenta Airport,36.716444,-110.228444,5688.0,Kayenta
HCC,Columbia County Airport,42.2913017273,-73.7102966309,198.0,Hudson
AHD,Ardmore Downtown Executive Airport,34.1469993591,-97.1227035522,844.0,Ardmore
GCW,Grand Canyon West Airport,35.990398407,-113.816001892,4825.0,Peach Springs
CKE,Lampson Field,38.990600585900005,-122.90100097700001,1379.0,Lakeport
ROF,Montague-Yreka Rohrer Field,41.7304000854,-122.54599762,2527.0,Montague
CNE,Fremont County Airport,38.4280014038,-105.10600280799999,5439.0,Cañon City
COP,Cooperstown-Westville Airport,42.6291999817,-74.89099884030001,1260.0,Cooperstown
CIL,Council Airport,64.89790344240001,-163.70300293,85.0,Council
IRB,Iraan Municipal Airport,30.905700683600003,-101.89199829100001,2200.0,Iraan
GNF,Gansner Field,39.943902,-120.945,3415.0,Quincy
CHZ,Chiloquin State Airport,42.579440493,-121.87906265299999,4217.0,Chiloquin
LTW,St. Mary's County Regional Airport,38.3153991699,-76.5501022339,142.0,Leonardtown
AHF,Arapahoe Municipal Airport,40.3395004272,-99.90650177,2270.0,Arapahoe
PCT,Princeton Airport,40.3992004395,-74.6588973999,128.0,Princeton/Rocky Hill
CTO,Calverton Executive Airpark,40.9151000977,-72.7919006348,75.0,Calverton
NRI,Grand Lake Regional Airport,36.577598571777,-94.86190032959,792.0,Afton
GTP,Grants Pass Airport,42.510101,-123.38799999999999,1126.0,Grants Pass
NLE,Jerry Tyler Memorial Airport,41.835899353027,-86.225196838379,750.0,Niles
GCD,Grand Coulee Dam Airport,47.922000885,-119.083000183,1588.0,Electric City
VLE,Valle Airport,35.65060043335,-112.14800262451,5999.0,Grand Canyon
FPY,Perry-Foley Airport,30.0692997,-83.58059692,44.0,Perry
NTJ,Manti-Ephraim Airport,39.32910156,-111.6149979,5500.0,Manti
SBO,Salina Gunnison Airport,39.0290985107,-111.83799743700001,5159.0,Salina
JVI,Central Jersey Regional Airport,40.5243988037,-74.59839630130001,86.0,Manville
UCE,Eunice Airport,30.466299057007,-92.423797607422,42.0,Eunice
GOL,Gold Beach Municipal Airport,42.41339874,-124.42400359999999,20.0,Gold Beach
KKT,Kentland Municipal Airport,40.758701324499995,-87.42819976810001,698.0,Kentland
PRW,Prentice Airport,45.542999,-90.279297,1578.0,Prentice
EGP,Maverick County Memorial International Airport,28.85720062,-100.512001,887.0,Eagle Pass
BLD,Boulder City Municipal Airport,35.947497999999996,-114.861,2201.0,Boulder City
MFH,Mesquite Airport,36.83499908,-114.0550003,1978.0,Mesquite
ECA,Iosco County Airport,44.312801,-83.422302,606.0,East Tawas
FMU,Florence Municipal Airport,43.98279953,-124.111000061,51.0,Florence
OTS,Anacortes Airport,48.498999999999995,-122.662003,241.0,Anacortes
ROL,Roosevelt Municipal Airport,40.278301,-110.05100300000001,5172.0,Roosevelt
CTK,Canton Municipal Airport,43.308899,-96.570999,1290.0,Canton
WPO,North Fork Valley Airport,38.831699371300004,-107.64600372299999,5798.0,Paonia
ATE,Antlers Municipal Airport,34.1926002502,-95.6499023438,575.0,Antlers
QWG,Wilgrove Air Park,35.2137985229,-80.67009735110001,799.0,Charlotte
ASQ,Austin Airport,39.467998,-117.195,5730.0,Austin
AAF,Apalachicola Regional Airport,29.72750092,-85.02749634,20.0,Apalachicola
ABE,Lehigh Valley International Airport,40.652099609375,-75.44080352783203,393.0,Allentown
ABI,Abilene Regional Airport,32.4113006592,-99.68190002440001,1791.0,Abilene
ABQ,Albuquerque International Sunport,35.040199,-106.609001,5355.0,Albuquerque
ABR,Aberdeen Regional Airport,45.44910049438477,-98.42179870605469,1302.0,Aberdeen
ABY,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197.0,Albany
ACB,Antrim County Airport,44.988602,-85.198402,623.0,Bellaire
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,47.0,Nantucket
ACT,Waco Regional Airport,31.61129951477051,-97.23049926757812,516.0,Waco
ACV,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,221.0,Arcata/Eureka
ACY,Atlantic City International Airport,39.45759963989258,-74.57720184326172,75.0,Atlantic City
ADG,Lenawee County Airport,41.8676986694,-84.07730102539998,798.0,Adrian
ADT,Ada Regional Airport,34.804297999999996,-96.67130300000001,1016.0,Ada
ADM,Ardmore Municipal Airport,34.30301,-97.01963420000001,777.0,Ardmore
ADS,Addison Airport,32.9686012268,-96.8364028931,644.0,Dallas
ADW,Joint Base Andrews,38.810798999999996,-76.866997,280.0,Camp Springs
AEL,Albert Lea Municipal Airport,43.68149948,-93.36720276,1260.0,Albert Lea
AEX,Alexandria International Airport,31.32740020751953,-92.54979705810548,89.0,Alexandria
AFF,USAF Academy Airfield,38.96969986,-104.81300350000001,6572.0,Colorado Springs
WSG,Washington County Airport,40.1365013123,-80.29019927979999,1184.0,Washington
AFN,Jaffrey Airport Silver Ranch Airport,42.80509948730001,-72.0029983521,1040.0,Jaffrey
AFO,Afton Municipal Airport,42.711200714099995,-110.94200134299999,6221.0,Afton
AFW,Fort Worth Alliance Airport,32.9875984192,-97.3188018799,722.0,Fort Worth
AGC,Allegheny County Airport,40.354400634765625,-79.9301986694336,1252.0,Pittsburgh
AGO,Ralph C Weiser Field,33.228001,-93.21700200000001,319.0,Magnolia
AGS,Augusta Regional At Bush Field,33.36989974975586,-81.9645004272461,144.0,Augusta
AHC,Amedee Army Air Field,40.26620102,-120.15299990000001,4012.0,Herlong
AHH,Amery Municipal Airport,45.281101226800004,-92.37539672850001,1088.0,Amery
AHN,Athens Ben Epps Airport,33.94860076904297,-83.32630157470703,808.0,Athens
AIA,Alliance Municipal Airport,42.0531997681,-102.804000854,3931.0,Alliance
AID,Anderson Municipal Darlington Field,40.10860061649999,-85.6129989624,919.0,Anderson
AIK,Aiken Regional Airport,33.649399,-81.684998,528.0,Aiken
AIO,Atlantic Municipal Airport,41.40729904,-95.04689789,1165.0,Atlantic
AIV,George Downer Airport,33.106499,-88.1978,150.0,Aliceville
AIZ,Lee C Fine Memorial Airport,38.0960006714,-92.54949951170002,869.0,Kaiser Lake Ozark
AKO,Colorado Plains Regional Airport,40.1755981445,-103.22200012200001,4714.0,Akron
AKC,Akron Fulton International Airport,41.0374984741,-81.46690368649999,1067.0,Akron
ALB,Albany International Airport,42.74829864501953,-73.80169677734375,285.0,Albany
ALI,Alice International Airport,27.740900039699998,-98.02690124510002,178.0,Alice
ALM,Alamogordo White Sands Regional Airport,32.839900970500004,-105.990997314,4200.0,Alamogordo
ALN,St Louis Regional Airport,38.89030075069999,-90.04599761959999,544.0,Alton/St Louis
ALO,Waterloo Regional Airport,42.55709838867188,-92.40029907226562,873.0,Waterloo
ALS,San Luis Valley Regional Bergman Field,37.434898,-105.866997,7539.0,Alamosa
ALW,Walla Walla Regional Airport,46.09489822,-118.288002,1194.0,Walla Walla
ALX,Thomas C Russell Field,32.914699554399995,-85.96299743649999,686.0,Alexander City
AMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,3607.0,Amarillo
AMN,Gratiot Community Airport,43.322101593,-84.68800354,754.0,Alma
AMW,Ames Municipal Airport,41.992001,-93.621803,956.0,Ames
ANB,Anniston Regional Airport,33.5882,-85.8581,612.0,Anniston
AND,Anderson Regional Airport,34.4945983887,-82.70939636230001,782.0,Anderson
SLT,Salida Airport Harriett Alexander Field,38.5383,-106.04900400000001,7523.0,Salida
ANP,Lee Airport,38.942902000000004,-76.568398,34.0,Annapolis
ANQ,Tri State Steuben County Airport,41.639702,-85.083504,995.0,Angola
ANW,Ainsworth Regional Airport,42.579201,-99.992995,2589.0,Ainsworth
ANY,Anthony Municipal Airport,37.158501,-98.07959699999999,1340.0,Anthony
AOH,Lima Allen County Airport,40.706902,-84.026703,975.0,Lima
AOO,Altoona Blair County Airport,40.29639816,-78.31999969,1503.0,Altoona
APA,Centennial Airport,39.57009888,-104.84899899999999,5885.0,Denver
APC,Napa County Airport,38.2132,-122.280998,35.0,Napa
APF,Naples Municipal Airport,26.1525993347,-81.7752990723,8.0,Naples
APG,Phillips Army Air Field,39.466202,-76.1688,57.0,Aberdeen Proving Grounds(Aberdeen)
APH,A P Hill AAF (Fort A P Hill) Airport,38.068902,-77.318298,220.0,Fort A. P. Hill
APN,Alpena County Regional Airport,45.07809829999999,-83.56030273,690.0,Alpena
APT,Marion County Brown Field,35.060699,-85.585297,641.0,Jasper
APV,Apple Valley Airport,34.575298309299995,-117.18599700899999,3062.0,Apple Valley
ARA,Acadiana Regional Airport,30.0378,-91.883904,24.0,New Iberia
ARB,Ann Arbor Municipal Airport,42.2229995728,-83.74559783939999,839.0,Ann Arbor
ARG,Walnut Ridge Regional Airport,36.124666999999995,-90.925111,279.0,Walnut Ridge
WHT,Wharton Regional Airport,29.254299163800006,-96.15440368649999,100.0,Wharton
AUZ,Aurora Municipal Airport,41.771900177,-88.47570037839998,712.0,Chicago/Aurora
ART,Watertown International Airport,43.99190139770508,-76.02169799804688,325.0,Watertown
ARV,Lakeland-Noble F. Lee Memorial field,45.92789841,-89.73090363,1629.0,Minocqua-Woodruff
BFT,Beaufort County Airport,32.4122009277,-80.6343994141,10.0,Beaufort
ASE,Aspen-Pitkin Co/Sardy Field,39.22320175,-106.8690033,7820.0,Aspen
SPZ,Springdale Municipal Airport,36.176399231,-94.11930084229999,1353.0,Springdale
ASH,Boire Field,42.781700134299996,-71.51480102539998,199.0,Nashua
ASL,Harrison County Airport,32.5205001831,-94.30780029299999,357.0,Marshall
ASN,Talladega Municipal Airport,33.569900512699995,-86.05090332030001,529.0,Talladega
AST,Astoria Regional Airport,46.158000946,-123.87899780299999,15.0,Astoria
ASX,John F Kennedy Memorial Airport,46.54850006,-90.91899872,827.0,Ashland
ASY,Ashley Municipal Airport,46.0238990784,-99.3526000977,2032.0,Ashley
ATL,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026.0,Atlanta
ATS,Artesia Municipal Airport,32.8525009155,-104.46800231899999,3541.0,Artesia
ATW,Appleton International Airport,44.258098602299995,-88.51909637450001,918.0,Appleton
ATY,Watertown Regional Airport,44.91400146,-97.15470123,1749.0,Watertown
AUG,Augusta State Airport,44.320598602299995,-69.7973022461,352.0,Augusta
AUM,Austin Municipal Airport,43.66500092,-92.93340302,1234.0,Austin
AUN,Auburn Municipal Airport,38.95479965,-121.0820007,1539.0,Auburn
AUO,Auburn University Regional Airport,32.615101,-85.433998,777.0,Auburn
AUS,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,542.0,Austin
AUW,Wausau Downtown Airport,44.9262008667,-89.62660217290001,1201.0,Wausau
AVL,Asheville Regional Airport,35.43619918823242,-82.54180145263672,2165.0,Asheville
AVO,Avon Park Executive Airport,27.59119987,-81.52780151,160.0,Avon Park
AVP,Wilkes Barre Scranton International Airport,41.338500976599995,-75.72339630130001,962.0,Wilkes-Barre/Scranton
AVW,Marana Regional Airport,32.4095993042,-111.21800231899999,2031.0,Tucson
AVX,Catalina Airport,33.4049,-118.416,1602.0,Avalon
AWM,West Memphis Municipal Airport,35.135101318400004,-90.2343978882,212.0,West Memphis
AXG,Algona Municipal Airport,43.0778999329,-94.27200317379999,1219.0,Algona
AXN,Chandler Field,45.866298675500005,-95.3946990967,1425.0,Alexandria
AXS,Altus Quartz Mountain Regional Airport,34.697952,-99.3385,1433.0,Altus
AXV,Neil Armstrong Airport,40.49340057,-84.29889679,913.0,Wapakoneta
AXX,Angel Fire Airport,36.422000885,-105.290000916,8380.0,Angel Fire
AYS,Waycross Ware County Airport,31.249099731399998,-82.39550018310001,142.0,Waycross
TUH,Arnold Air Force Base,35.39260101,-86.08580017,1067.0,Tullahoma
AZO,Kalamazoo Battle Creek International Airport,42.234901428222656,-85.5521011352539,874.0,Kalamazoo
BAB,Beale Air Force Base,39.136100769,-121.43699646,113.0,Marysville
BAD,Barksdale Air Force Base,32.5018005371,-93.6626968384,166.0,Bossier City
BAF,Westfield-Barnes Regional Airport,42.157799,-72.715599,271.0,Westfield/Springfield
CLU,Columbus Municipal Airport,39.2619018555,-85.8963012695,656.0,Columbus
BAM,Battle Mountain Airport,40.598999023400005,-116.874000549,4532.0,Battle Mountain
BBB,Benson Municipal Airport,45.331901550299996,-95.6505966187,1039.0,Benson
BBD,Curtis Field,31.179300308200002,-99.32389831540002,1827.0,Brady
BTN,Marlboro County Jetport H.E. Avent Field,34.62170029,-79.73439789,147.0,Bennettsville
BBW,Broken Bow Municipal Airport,41.4365005493,-99.64219665530001,2547.0,Broken Bow
BCB,Virginia Tech Montgomery Executive Airport,37.207599639899996,-80.4077987671,2132.0,Blacksburg
BCE,Bryce Canyon Airport,37.706401825,-112.144996643,7590.0,Bryce Canyon
BCT,Boca Raton Airport,26.3784999847,-80.1076965332,13.0,Boca Raton
BDE,Baudette International Airport,48.7284011841,-94.61219787600001,1086.0,Baudette
BDG,Blanding Municipal Airport,37.58330154,-109.4830017,5868.0,Blanding
BDL,Bradley International Airport,41.9388999939,-72.68319702149999,173.0,Hartford
BDR,Igor I Sikorsky Memorial Airport,41.16350173950195,-73.1261978149414,9.0,Bridgeport
WBU,Boulder Municipal Airport,40.039398193400004,-105.225997925,5288.0,Boulder
BEC,Beech Factory Airport,37.6944999695,-97.2149963379,1408.0,Wichita
BED,Laurence G Hanscom Field,42.47000122,-71.28900146,133.0,Bedford
BEH,Southwest Michigan Regional Airport,42.128601074200006,-86.4284973145,643.0,Benton Harbor
BFD,Bradford Regional Airport,41.8031005859375,-78.64009857177734,2143.0,Bradford
BFF,Western Neb. Rgnl/William B. Heilig Airport,41.87400055,-103.5960007,3967.0,Scottsbluff
BFI,Boeing Field King County International Airport,47.52999877929688,-122.302001953125,21.0,Seattle
BFL,Meadows Field,35.43360138,-119.0569992,510.0,Bakersfield
BFM,Mobile Downtown Airport,30.626800537100006,-88.06809997559998,26.0,Mobile
BFR,Virgil I Grissom Municipal Airport,38.84000015,-86.44539642,727.0,Bedford
BGD,Hutchinson County Airport,35.70090103149999,-101.39399719200001,3055.0,Borger
BGE,Decatur County Industrial Air Park,30.971500399999996,-84.63739777,141.0,Bainbridge
BGM,Greater Binghamton/Edwin A Link field,42.20869827,-75.97979736,1636.0,Binghamton
BGR,Bangor International Airport,44.80739974975586,-68.82810211181639,192.0,Bangor
BHB,Hancock County-Bar Harbor Airport,44.45000076,-68.36150359999999,83.0,Bar Harbor
BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,650.0,Birmingham
BID,Block Island State Airport,41.1680984497,-71.577796936,108.0,Block Island
BIE,Beatrice Municipal Airport,40.3013000488,-96.75409698490002,1324.0,Beatrice
BIF,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,3946.0,Fort Bliss/El Paso
BIH,Eastern Sierra Regional Airport,37.373100280799996,-118.36399841299999,4124.0,Bishop
BIL,Billings Logan International Airport,45.807701110839844,-108.54299926757812,3652.0,Billings
BIS,Bismarck Municipal Airport,46.77270126342773,-100.74600219726562,1661.0,Bismarck
BIX,Keesler Air Force Base,30.4104003906,-88.92440032959999,33.0,Biloxi
BJC,Rocky Mountain Metropolitan Airport,39.90879822,-105.11699679999998,5673.0,Denver
BJI,Bemidji Regional Airport,47.50939941,-94.93370056,1391.0,Bemidji
BJJ,Wayne County Airport,40.8748016357,-81.88829803470001,1136.0,Wooster
BKD,Stephens County Airport,32.71900177,-98.8909988403,1284.0,Breckenridge
BKE,Baker City Municipal Airport,44.8372993469,-117.808998108,3373.0,Baker City
BFK,Buckley Air Force Base,39.701698303200004,-104.75199890100001,5662.0,Aurora
BKL,Burke Lakefront Airport,41.51750183105469,-81.68329620361328,583.0,Cleveland
BKT,Allen C Perkinson Blackstone Army Air Field,37.0741996765,-77.9574966431,439.0,Blackstone
BKW,Raleigh County Memorial Airport,37.787300109899995,-81.1241989136,2504.0,Beckley
BKX,Brookings Regional Airport,44.304798,-96.816902,1648.0,Brookings
BLF,Mercer County Airport,37.295799255371094,-81.20770263671875,2857.0,Bluefield
BLH,Blythe Airport,33.6192016602,-114.717002869,399.0,Blythe
BLI,Bellingham International Airport,48.79280090332031,-122.53800201416016,170.0,Bellingham
BLM,Monmouth Executive Airport,40.18690109,-74.12490082,153.0,Belmar/Farmingdale
BLU,Blue Canyon Nyack Airport,39.2750015259,-120.709999084,5284.0,Emigrant Gap
BLV,Scott AFB/Midamerica Airport,38.5452,-89.835197,459.0,Belleville
BMC,Brigham City Regional Airport,41.552399,-112.061996,4229.0,Brigham City
BMG,Monroe County Airport,39.14599990844727,-86.61669921875,846.0,Bloomington
BMI,Central Illinois Regional Airport at Bloomington-Normal,40.47710037,-88.91590118,871.0,Bloomington/Normal
BML,Berlin Regional Airport,44.57540131,-71.17590332,1161.0,Berlin
BMT,Beaumont Municipal Airport,30.070699691799998,-94.21579742430002,32.0,Beaumont
BNA,Nashville International Airport,36.1245002746582,-86.6781997680664,599.0,Nashville
BNG,Banning Municipal Airport,33.923099517800004,-116.850997925,2219.0,Banning
BNL,Barnwell Regional Airport,33.25780106,-81.38829803,246.0,Barnwell
BNO,Burns Municipal Airport,43.5918998718,-118.955001831,4148.0,Burns
BNW,Boone Municipal Airport,42.0495986938,-93.8476028442,1160.0,Boone
BOI,Boise Air Terminal/Gowen Field,43.5644,-116.223,2871.0,Boise
BOS,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20.0,Boston
BOW,Bartow Executive Airport,27.943399,-81.783401,125.0,Bartow
HCA,Big Spring Mc Mahon-Wrinkle Airport,32.212601,-101.522003,2573.0,Big Spring
BPI,Miley Memorial Field,42.58509827,-110.1110001,6990.0,Big Piney
WMH,Ozark Regional Airport,36.3689002991,-92.4704971313,928.0,Mountain Home
BPT,Southeast Texas Regional Airport,29.9507999420166,-94.02069854736328,15.0,Beaumont/Port Arthur
BQK,Brunswick Golden Isles Airport,31.2588005065918,-81.46649932861328,26.0,Brunswick
BRD,Brainerd Lakes Regional Airport,46.39830017,-94.13809967,1232.0,Brainerd
BRL,Southeast Iowa Regional Airport,40.783199310302734,-91.12550354003906,698.0,Burlington
BRO,Brownsville South Padre Island International Airport,25.90679931640625,-97.4259033203125,22.0,Brownsville
BRY,Samuels Field,37.8143005371,-85.49960327149999,669.0,Bardstown
BTF,Skypark Airport,40.8694000244,-111.92700195299999,4234.0,Bountiful
BTL,W K Kellogg Airport,42.3073005676,-85.25150299069999,952.0,Battle Creek
BTM,Bert Mooney Airport,45.95479965209961,-112.49700164794922,5550.0,Butte
TTO,Britton Municipal Airport,45.815200805664,-97.74310302734399,1318.0,Britton
BTP,Pittsburgh/Butler Regional Airport,40.776901,-79.949699,1248.0,Butler
BTR,Baton Rouge Metropolitan Airport,30.533199,-91.149597,70.0,Baton Rouge
BTV,Burlington International Airport,44.471900939899996,-73.15329742429998,335.0,Burlington
BTY,Beatty Airport,36.8610992432,-116.78700256299999,3170.0,Beatty
BUB,Cram Field,41.776699066199996,-99.14969635010002,2182.0,Burwell
BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,728.0,Buffalo
BUM,Butler Memorial Airport,38.2897987366,-94.34010314940001,892.0,Butler
BUR,Bob Hope Airport,34.200698852539055,-118.35900115966795,778.0,Burbank
BFP,Beaver County Airport,40.7724990845,-80.39140319820001,1253.0,Beaver Falls
BVO,Bartlesville Municipal Airport,36.76250076,-96.01119995,711.0,Bartlesville
MVW,Skagit Regional Airport,48.470901489300005,-122.42099762,144.0,Burlington/Mount Vernon
BVX,Batesville Regional Airport,35.7262001,-91.64730072,465.0,Batesville
BVY,Beverly Municipal Airport,42.5842018127,-70.91649627689999,107.0,Beverly
BWC,Brawley Municipal Airport,32.99290085,-115.5169983,-128.0,Brawley
BWD,Brownwood Regional Airport,31.793600082399998,-98.9564971924,1387.0,Brownwood
BWG,Bowling Green Warren County Regional Airport,36.9645004272,-86.41970062259999,547.0,Bowling Green
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,146.0,Baltimore
WAH,Harry Stern Airport,46.2440986633,-96.6073989868,968.0,Wahpeton
BWM,Bowman Regional Airport,46.1655193,-103.30075,2965.0,Bowman
BXA,George R Carr Memorial Air Field,30.8136997223,-89.86499786379999,119.0,Bogalusa
BXK,Buckeye Municipal Airport,33.42039871,-112.685997,1033.0,Buckeye
BYG,Johnson County Airport,44.3810997009,-106.72200012200001,4968.0,Buffalo
BYH,Arkansas International Airport,35.9642982483,-89.94400024410002,254.0,Blytheville
